id	x	y
2728	-38.57926616	-6.746249504
2977	-42.78768877	-6.369630268
2729	-38.57811407	-7.665979574
3172	-42.79801856	-5.774379409
2978	-42.74976265	-6.105982862
3833	-38.07855848	-5.962808395
2979	-43.04157885	-9.213406786
3179	-42.47327016	-7.876819097
3834	-35.58485117	-5.596358706
1153	-43.19119499	-6.588671173
2923	-36.73876081	-8.990994791
801	-40.47480129	-4.156241013
2183	-43.93449518	-15.64184445
2730	-36.90619965	-6.917881483
2185	-43.62680764	-15.54128577
2731	-38.33113196	-7.627860962
2981	-41.82993463	-6.124030582
2732	-37.96218067	-7.386365789
2733	-38.48264266	-6.476344445
2722	-37.63709948	-6.47735355
2735	-37.44502621	-7.090617964
4745	-37.62505213	-10.06403822
2959	-38.07424684	-7.879173782
2982	-41.52515325	-7.244160749
560	-41.69247821	-11.0615741
2997	-42.105738	-4.353917617
3715	-36.82483077	-6.355415482
3108	-41.97668422	-6.50054401
2737	-37.70714352	-6.871652088
2738	-37.47111133	-6.458635888
3022	-40.9563031	-7.702381752
3836	-38.16350742	-6.440212984
3792	-36.83926114	-5.086860487
2743	-38.41748867	-6.733158973
3687	-37.98896478	-6.364135329
3038	-42.84630745	-5.615686932
3063	-41.6802519	-6.673223629
2741	-38.05406098	-6.631506614
3091	-40.73843628	-7.428603175
2744	-36.78727128	-8.088504835
3689	-36.72326006	-5.361881527
3093	-41.09525224	-7.534120987
3094	-42.58378261	-3.707121393
3191	-41.89036073	-7.239577469
3126	-42.30595301	-8.060106611
3113	-42.2845676	-7.820880571
2745	-38.14056105	-6.940863125
3692	-37.83525857	-5.627864811
2747	-37.37934969	-6.812668537
3690	-36.55719779	-5.645729692
3691	-37.92469659	-6.219231696
2748	-38.49438653	-7.098011239
3001	-42.8753429	-9.171221425
2749	-38.09576323	-7.702297837
3096	-42.70804915	-5.695183176
2755	-37.08478216	-6.926760493
2756	-35.19940665	-7.240711118
2757	-35.85140784	-7.087007389
2754	-35.32759338	-7.233643113
3831	-37.97220747	-5.768710079
2758	-37.01460987	-8.157668044
2759	-35.19711863	-7.054542995
3097	-41.51202356	-4.701045672
2931	-37.43724385	-7.42936028
3693	-37.03786978	-5.000960098
3714	-38.42276449	-6.255072001
2760	-36.44700866	-6.907317777
2761	-36.70872777	-7.535814158
2762	-35.45205476	-6.705172457
2763	-38.37656963	-7.217732923
2644	-36.46637398	-7.251729031
2769	-36.37009289	-7.101801656
3705	-37.03786172	-6.46735049
3706	-36.20851652	-6.237387405
2721	-36.1384546	-7.680694218
2619	-38.5283741	-7.50421791
3017	-43.48200444	-8.419831988
3826	-35.71849479	-6.428266291
3004	-42.78870606	-8.407358605
2987	-42.10599586	-6.529156218
2988	-42.36797317	-4.189394057
2990	-42.49089567	-5.815553726
2991	-42.05690374	-4.039353433
2992	-41.90362969	-7.959409441
2993	-40.97740808	-7.391724484
3029	-43.67011561	-8.202448885
2994	-42.40363909	-5.469484667
2995	-43.87602304	-7.745187147
2996	-40.83112922	-8.051059141
2999	-44.54665095	-9.198748626
3003	-41.46801051	-4.114497383
3005	-41.82037863	-3.17516262
2739	-37.95075592	-6.803082285
3006	-41.22281176	-5.142756206
3007	-42.33342567	-4.431605838
3030	-42.18672598	-7.293898396
3024	-41.85050488	-3.391381852
3008	-42.45886879	-6.781690022
3009	-41.36160178	-2.992248391
3010	-40.62864872	-7.306090411
3011	-41.86433184	-7.649982214
3012	-41.82073954	-8.279858784
3013	-41.06192205	-7.183351745
3014	-42.54588421	-3.880529177
3031	-41.57730175	-7.917654751
3015	-42.14516946	-4.877089647
3040	-42.67123595	-5.338981205
3018	-41.9089734	-4.498769567
3019	-41.90089218	-8.52893908
3020	-43.34630022	-9.088840305
3021	-41.82387756	-3.564307333
3023	-41.57232163	-5.316918856
592	-38.95513694	-11.47581389
3041	-42.45745126	-9.327720076
3025	-41.54646132	-3.455092846
3026	-41.96011529	-4.621954044
3027	-41.39621675	-3.647495293
3028	-42.2840769	-5.099677029
3054	-40.79467505	-7.327467254
3032	-42.46984671	-8.796064838
3042	-41.69782481	-6.958906466
3708	-37.58351924	-5.766954135
3035	-43.96115217	-8.781733244
3036	-44.30668708	-9.940301645
3039	-40.77167736	-7.885207253
3043	-41.30968023	-4.255043767
3709	-36.54830891	-6.552761797
3044	-41.92223333	-8.917642575
3045	-42.18994504	-6.186935968
3046	-43.65815628	-7.970750875
3710	-36.85695633	-5.258593256
3047	-42.1896851	-3.823390994
3050	-41.80628282	-7.462909573
3051	-43.07899286	-7.005293989
3052	-42.23368061	-6.422460247
3053	-42.72111569	-6.668757128
3056	-40.58389195	-7.074232827
3057	-41.33803336	-7.186693394
3059	-43.70491811	-6.841877148
3060	-43.67042413	-9.062949458
3061	-42.51193287	-6.037395072
3069	-41.20496925	-7.390945082
3070	-42.52108597	-6.155988132
3071	-41.91812076	-4.840968749
3072	-43.50111758	-7.114444647
3073	-42.44575053	-8.508203743
3074	-42.08208046	-3.5395752
3075	-42.42586462	-3.54556628
3076	-42.52448981	-4.713461552
3077	-41.59359256	-4.97949715
3079	-43.16721428	-9.018790219
3080	-42.56449064	-4.489370014
3081	-41.58104446	-4.363632154
3082	-41.6048672	-8.57096256
3083	-42.60777863	-5.460784247
3087	-41.48139265	-3.082113997
3088	-42.38006074	-3.677474332
3089	-42.52920952	-3.566044646
3090	-44.00748079	-8.206110751
3190	-40.93273633	-7.203722013
3095	-42.77330947	-4.240053461
3101	-43.91491336	-9.803530793
3103	-42.01912544	-3.375063808
2562	-38.21297024	-7.072769512
3104	-42.74518044	-7.051799855
3105	-42.18839665	-4.64313025
3109	-41.9144808	-5.276769073
3152	-42.12142625	-5.974399996
2742	-36.49074805	-7.45225954
3110	-42.25156377	-7.018262947
3112	-40.88102933	-7.376227881
3114	-42.82398158	-7.918219479
3116	-42.95609361	-5.882079393
3711	-35.39497202	-5.595079292
3119	-41.75315784	-2.959284304
2983	-42.51995724	-6.61775135
3120	-42.39871025	-5.84414468
3121	-41.36727192	-7.656807984
3122	-42.53249726	-5.23816979
3161	-42.44924615	-3.818946614
3123	-41.21849078	-8.162393977
3827	-37.02459075	-5.171734715
3125	-41.39942019	-4.489993743
4751	-37.01571273	-10.07679566
3712	-36.32684164	-5.988845986
3127	-41.5230279	-7.063805279
3128	-41.16599292	-6.344369109
3129	-40.71770522	-6.789764922
3130	-41.61375173	-3.851914443
4754	-37.6798235	-10.62405058
3131	-41.77122882	-4.330803366
2984	-41.06837279	-5.879609281
3135	-41.33592027	-8.512853524
3713	-36.1956896	-6.356848955
3137	-42.49004017	-6.352093761
3139	-42.61240866	-7.927208225
3162	-42.24956838	-8.324360491
3141	-43.15181077	-7.770598682
3142	-41.83786614	-7.128449716
3143	-41.86863986	-5.907524773
3163	-41.83362228	-3.798415488
3164	-42.58202002	-7.48201297
3153	-41.58633355	-8.198389507
3146	-41.50032035	-6.938654705
3745	-35.87361661	-5.474876368
3147	-42.22688512	-6.809127798
3156	-42.65174041	-6.002620934
3157	-41.39347271	-6.696744026
3746	-37.838174	-6.287725575
3158	-41.2829588	-4.011099606
3159	-41.87680048	-5.541959934
3160	-41.88215413	-6.956256711
3180	-41.36031917	-7.012411101
3167	-42.53486012	-9.1711435
3168	-41.26282702	-6.765015904
3169	-42.27026173	-5.817706968
3170	-42.40875582	-7.644144242
3747	-38.28258889	-6.340106147
3002	-42.10807614	-4.538806814
3171	-41.43836738	-5.731281871
3728	-35.21357907	-6.287299515
3173	-42.71496492	-8.965922327
3176	-41.8127765	-4.97977121
3177	-40.74176904	-7.670364049
3178	-42.0185765	-7.801365123
2750	-37.30015611	-7.147087554
3183	-42.70016225	-5.099420184
3184	-42.77233486	-4.576760871
3186	-41.79872447	-6.366704771
3188	-42.22507043	-6.553141614
3828	-37.35965423	-6.586863386
2751	-37.35829915	-6.235422939
3764	-35.35492409	-5.45111562
3774	-36.92069297	-6.683305667
3765	-37.47542912	-6.117251577
3766	-35.29074908	-6.504418342
3767	-35.40514467	-6.098103091
2752	-36.82116525	-6.817021699
3775	-38.2838753	-6.450702504
3768	-35.80868298	-6.429507984
2753	-36.85225335	-7.420781229
480	-40.02958104	-13.05080715
2764	-35.66300997	-7.170991739
3776	-37.11049446	-5.783869906
3769	-37.32510136	-5.175466618
3838	-37.32089884	-4.888222129
2765	-35.64425203	-6.833166607
4738	-37.66438457	-10.90268227
4748	-37.50467046	-10.3579151
2766	-35.42233341	-6.741726439
2818	-36.32141257	-8.750144874
481	-41.10845657	-12.83745442
484	-42.13240684	-12.84602779
487	-42.74409197	-12.26063481
489	-41.13299077	-10.86241284
762	-40.58278178	-4.258908551
2620	-37.6121646	-6.901913302
2781	-38.26719578	-6.559488226
2645	-38.40391443	-7.492546041
2646	-38.12453194	-7.154485124
2865	-38.72815905	-8.748950792
4749	-37.52745393	-10.17740663
2935	-36.37717231	-8.879619927
3823	-36.65957469	-6.207352359
4750	-37.23508324	-10.48264079
3780	-35.59872318	-6.444811183
3794	-35.5817112	-5.406960194
3799	-35.84920175	-5.797952595
4756	-37.7578388	-10.56290232
3842	-37.15120317	-5.918024501
3000	-41.62997228	-3.157375998
3841	-35.62003586	-5.276355764
4759	-38.10725435	-10.77399104
4760	-37.42239821	-9.913696051
3835	-35.83286652	-6.212263782
3843	-37.83225422	-5.991409457
3844	-37.2917423	-5.609589388
3845	-35.36812148	-6.350651382
3117	-41.68404466	-7.137893819
3846	-38.52651502	-6.320242927
3049	-42.9637391	-7.786904112
3847	-35.45552204	-6.048051347
3848	-37.9547483	-5.987273476
4762	-37.79221951	-11.07570863
4775	-37.82727626	-10.75385371
3837	-36.71812131	-6.154713334
2819	-38.05327898	-8.054407553
4777	-36.88819129	-10.19253474
3727	-36.20754051	-5.174976056
3016	-43.57729304	-7.513328341
4772	-37.56513827	-10.80237952
2817	-36.67985942	-8.782594201
4774	-37.37842628	-10.37921779
3726	-37.83883733	-6.161175611
3730	-37.2090386	-4.94701502
3731	-36.34373542	-5.174017503
3724	-36.83017315	-6.16861836
3084	-41.48592668	-6.489903358
2661	-37.88680004	-6.588241654
3085	-42.62704252	-5.820015238
3716	-36.44314131	-6.223077793
3718	-38.306159	-6.133841729
3824	-35.68460124	-6.031915649
3744	-36.805942	-6.587387079
3748	-37.02089019	-6.057767744
3749	-35.33978553	-6.255297575
3750	-35.6259869	-6.384296866
3751	-35.45040364	-6.192180115
3753	-36.51831024	-6.077049991
3760	-36.55949553	-5.151575797
3762	-38.15698908	-6.27997315
3763	-37.90543783	-6.079497304
3805	-36.63448222	-5.903495472
3807	-35.51552755	-6.346730859
3808	-35.98865128	-5.14337101
3809	-36.05200901	-6.368537368
3810	-37.15086743	-6.320925443
3811	-38.18348477	-5.984792142
3812	-35.36468931	-5.787172442
3813	-37.18830912	-6.690086474
2771	-38.22621497	-6.737480193
4778	-38.00292695	-11.04192292
3733	-36.80264549	-5.537736679
4779	-37.87866248	-11.36440036
2821	-35.7615899	-8.339651789
2595	-35.59989442	-6.793170335
2668	-37.43855082	-7.247244464
3735	-36.80774561	-5.689485017
3737	-36.19857642	-6.418124435
70	-37.0099164	-9.540900528
3725	-38.10827282	-6.052574746
3729	-37.53639836	-5.394710748
3738	-36.14259119	-5.35375881
2692	-37.136903	-7.609068611
2656	-35.56403624	-7.162176724
3739	-37.47444331	-5.996482792
2657	-36.55730035	-7.057013349
2658	-36.77595676	-6.990318401
3068	-41.25596467	-7.886744302
2660	-37.80251139	-7.500242034
3740	-35.60580085	-6.152077958
2662	-35.36164329	-6.678559948
2663	-35.86726859	-7.145090137
2664	-38.17778039	-6.550679372
2665	-36.93134439	-7.339616525
2666	-35.41815739	-6.521231066
3741	-35.89862582	-6.432284281
3742	-35.98652119	-5.613398245
3732	-35.55000286	-5.783661253
2594	-36.15063416	-7.507005774
2669	-37.52513986	-6.88237769
3734	-37.2239752	-6.78714747
3736	-37.91626192	-5.818170906
2596	-37.49701103	-6.329365003
2575	-36.96368128	-7.103574156
2578	-36.70933732	-7.07218927
2581	-36.26228648	-6.621348342
488	-38.65886098	-12.00340428
2680	-35.49080075	-7.290689533
2681	-35.94545737	-7.090877219
2704	-35.60815349	-6.883022165
120	-36.49547723	-9.620399924
3102	-42.26308824	-3.705306914
2694	-37.04287727	-7.114381019
3149	-42.70219884	-6.04966221
2719	-35.66899342	-7.237505351
112	-37.49562668	-9.531625924
2720	-35.28992567	-7.154671898
242	-39.09685022	-11.53577349
2601	-38.70046988	-6.94551636
3151	-43.00775068	-8.964626865
2604	-37.08496081	-7.208188205
3695	-37.32440271	-5.880804182
2605	-35.411368	-6.603873415
2971	-42.627636	-5.913530542
2607	-37.80100434	-6.959643797
2606	-38.54371859	-6.918966767
2608	-35.33151542	-7.134420607
2862	-37.41600457	-7.71341685
2609	-36.80051414	-7.899805292
2618	-36.05852688	-7.414891995
3697	-37.61788757	-5.092352208
2564	-35.7584598	-7.068036821
2565	-35.52171817	-6.958940523
2767	-35.26054179	-7.188418374
2627	-36.07714652	-6.548334453
2566	-36.0478754	-7.68834494
2567	-36.03502129	-6.926257701
